REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2025/01/01 00:05:00,1379.47,141.48,TRADE
SA1,2025/01/01 00:10:00,1367.61,136.59,TRADE
SA1,2025/01/01 00:15:00,1379.99,142.05,TRADE
SA1,2025/01/01 00:20:00,1380.91,129.64,TRADE
SA1,2025/01/01 00:25:00,1369.41,129.52,TRADE
SA1,2025/01/01 00:30:00,1379.09,134.72,TRADE
SA1,2025/01/01 00:35:00,1364.22,122.95,TRADE
SA1,2025/01/01 00:40:00,1390.67,134.27,TRADE
SA1,2025/01/01 00:45:00,1392.95,135.86,TRADE
SA1,2025/01/01 00:50:00,1391.86,134.19,TRADE
SA1,2025/01/01 00:55:00,1397.91,149.74,TRADE
SA1,2025/01/01 01:00:00,1412.06,137.80,TRADE
SA1,2025/01/01 01:05:00,1400.86,137.81,TRADE
SA1,2025/01/01 01:10:00,1400.32,140.54,TRADE
SA1,2025/01/01 01:15:00,1382.17,126.76,TRADE
SA1,2025/01/01 01:20:00,1381.77,141.57,TRADE
SA1,2025/01/01 01:25:00,1352.41,133.44,TRADE
SA1,2025/01/01 01:30:00,1345.97,127.72,TRADE
SA1,2025/01/01 01:35:00,1333.69,126.61,TRADE
SA1,2025/01/01 01:40:00,1339.52,121.62,TRADE
SA1,2025/01/01 01:45:00,1325.64,121.36,TRADE
SA1,2025/01/01 01:50:00,1334.25,119.17,TRADE
SA1,2025/01/01 01:55:00,1327.28,119.83,TRADE
SA1,2025/01/01 02:00:00,1318.02,119.43,TRADE
SA1,2025/01/01 02:05:00,1317.73,119.35,TRADE
SA1,2025/01/01 02:10:00,1317.66,120.89,TRADE
SA1,2025/01/01 02:15:00,1300.92,117.48,TRADE
SA1,2025/01/01 02:20:00,1292.24,118.23,TRADE
SA1,2025/01/01 02:25:00,1276.43,115.85,TRADE
SA1,2025/01/01 02:30:00,1266.74,114.89,TRADE
SA1,2025/01/01 02:35:00,1250.48,113.51,TRADE
SA1,2025/01/01 02:40:00,1241.53,112.25,TRADE
SA1,2025/01/01 02:45:00,1242.36,110.73,TRADE
SA1,2025/01/01 02:50:00,1233.47,110.67,TRADE
SA1,2025/01/01 02:55:00,1237.9,111.11,TRADE
SA1,2025/01/01 03:00:00,1236.73,111.07,TRADE
SA1,2025/01/01 03:05:00,1231.34,111.07,TRADE
SA1,2025/01/01 03:10:00,1240.87,111.52,TRADE
SA1,2025/01/01 03:15:00,1248.69,112.36,TRADE
SA1,2025/01/01 03:20:00,1220.11,109.54,TRADE
SA1,2025/01/01 03:25:00,1203.62,109.73,TRADE
SA1,2025/01/01 03:30:00,1209.55,110.24,TRADE
SA1,2025/01/01 03:35:00,1197.39,109.82,TRADE
SA1,2025/01/01 03:40:00,1226.1,112.64,TRADE
SA1,2025/01/01 03:45:00,1191.99,110.40,TRADE
SA1,2025/01/01 03:50:00,1189.14,110.10,TRADE
SA1,2025/01/01 03:55:00,1192.12,110.50,TRADE
SA1,2025/01/01 04:00:00,1199.25,110.90,TRADE
SA1,2025/01/01 04:05:00,1198.41,114.28,TRADE
SA1,2025/01/01 04:10:00,1184.91,113.71,TRADE
SA1,2025/01/01 04:15:00,1183.41,110.75,TRADE
SA1,2025/01/01 04:20:00,1174.52,110.72,TRADE
SA1,2025/01/01 04:25:00,1171.81,111.40,TRADE
SA1,2025/01/01 04:30:00,1167.81,111.02,TRADE
SA1,2025/01/01 04:35:00,1158.07,110.22,TRADE
SA1,2025/01/01 04:40:00,1176.51,110.68,TRADE
SA1,2025/01/01 04:45:00,1177.83,110.73,TRADE
SA1,2025/01/01 04:50:00,1178.11,111.08,TRADE
SA1,2025/01/01 04:55:00,1174.6,109.33,TRADE
SA1,2025/01/01 05:00:00,1181.51,111.39,TRADE
SA1,2025/01/01 05:05:00,1168.73,111.39,TRADE
SA1,2025/01/01 05:10:00,1175.11,111.45,TRADE
SA1,2025/01/01 05:15:00,1183.37,111.32,TRADE
SA1,2025/01/01 05:20:00,1178.82,109.62,TRADE
SA1,2025/01/01 05:25:00,1158.3,105.44,TRADE
SA1,2025/01/01 05:30:00,1151.36,96.69,TRADE
SA1,2025/01/01 05:35:00,1158.82,93.48,TRADE
SA1,2025/01/01 05:40:00,1178.84,95.86,TRADE
SA1,2025/01/01 05:45:00,1179.2,89.65,TRADE
SA1,2025/01/01 05:50:00,1165.94,84.88,TRADE
SA1,2025/01/01 05:55:00,1153.35,60.04,TRADE
SA1,2025/01/01 06:00:00,1139.59,59.74,TRADE
SA1,2025/01/01 06:05:00,1127.38,21.31,TRADE
SA1,2025/01/01 06:10:00,1150.31,46.40,TRADE
SA1,2025/01/01 06:15:00,1106.49,13.22,TRADE
SA1,2025/01/01 06:20:00,1089.1,-15.75,TRADE
SA1,2025/01/01 06:25:00,1078.97,-19.29,TRADE
SA1,2025/01/01 06:30:00,1086.06,-19.64,TRADE
SA1,2025/01/01 06:35:00,1048.79,-19.52,TRADE
SA1,2025/01/01 06:40:00,1042.72,-19,TRADE
SA1,2025/01/01 06:45:00,1015.34,-20.10,TRADE
SA1,2025/01/01 06:50:00,985.05,-32.01,TRADE
SA1,2025/01/01 06:55:00,990.08,-32.25,TRADE
SA1,2025/01/01 07:00:00,984.47,-26.66,TRADE
SA1,2025/01/01 07:05:00,964.07,-25.91,TRADE
SA1,2025/01/01 07:10:00,919.5,-20.98,TRADE
SA1,2025/01/01 07:15:00,863.34,-31.73,TRADE
SA1,2025/01/01 07:20:00,857.1,-28.43,TRADE
SA1,2025/01/01 07:25:00,866.04,-28.75,TRADE
SA1,2025/01/01 07:30:00,858.58,-29.41,TRADE
SA1,2025/01/01 07:35:00,804.29,-31.11,TRADE
SA1,2025/01/01 07:40:00,786.09,-29.76,TRADE
SA1,2025/01/01 07:45:00,759.62,-31.24,TRADE
SA1,2025/01/01 07:50:00,750.1,-31.95,TRADE
SA1,2025/01/01 07:55:00,720.44,-30.34,TRADE
SA1,2025/01/01 08:00:00,695.45,-28.85,TRADE
SA1,2025/01/01 08:05:00,678.5,-30.19,TRADE
SA1,2025/01/01 08:10:00,674.55,-30.14,TRADE
SA1,2025/01/01 08:15:00,625,-29.46,TRADE
SA1,2025/01/01 08:20:00,595.05,-32.01,TRADE
SA1,2025/01/01 08:25:00,565.86,-31.59,TRADE
SA1,2025/01/01 08:30:00,538.64,-32.01,TRADE
SA1,2025/01/01 08:35:00,499.23,-32.01,TRADE
SA1,2025/01/01 08:40:00,475.52,-32.50,TRADE
SA1,2025/01/01 08:45:00,445.84,-35,TRADE
SA1,2025/01/01 08:50:00,414.08,-35,TRADE
SA1,2025/01/01 08:55:00,378.34,-46.19,TRADE
SA1,2025/01/01 09:00:00,358.07,-35,TRADE
SA1,2025/01/01 09:05:00,322.1,-60.67,TRADE
SA1,2025/01/01 09:10:00,342.46,-42.97,TRADE
