REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2025/05/01 00:05:00,1510.13,79.82,TRADE
SA1,2025/05/01 00:10:00,1515.39,74.66,TRADE
SA1,2025/05/01 00:15:00,1478.86,71.25,TRADE
SA1,2025/05/01 00:20:00,1501.35,72.24,TRADE
SA1,2025/05/01 00:25:00,1496.31,72.04,TRADE
SA1,2025/05/01 00:30:00,1497.55,71.43,TRADE
SA1,2025/05/01 00:35:00,1510.2,74.27,TRADE
SA1,2025/05/01 00:40:00,1516.39,73.85,TRADE
SA1,2025/05/01 00:45:00,1515.31,71.39,TRADE
SA1,2025/05/01 00:50:00,1523.02,71.74,TRADE
SA1,2025/05/01 00:55:00,1540.84,72.53,TRADE
SA1,2025/05/01 01:00:00,1527.39,72.42,TRADE
SA1,2025/05/01 01:05:00,1536.46,75.12,TRADE
SA1,2025/05/01 01:10:00,1513.25,73.75,TRADE
SA1,2025/05/01 01:15:00,1511.43,74.42,TRADE
SA1,2025/05/01 01:20:00,1485.3,70.98,TRADE
SA1,2025/05/01 01:25:00,1499.87,71.15,TRADE
SA1,2025/05/01 01:30:00,1496.68,72.42,TRADE
SA1,2025/05/01 01:35:00,1460.51,68.61,TRADE
SA1,2025/05/01 01:40:00,1487.71,84.29,TRADE
SA1,2025/05/01 01:45:00,1481.55,69.30,TRADE
SA1,2025/05/01 01:50:00,1487.86,77.40,TRADE
SA1,2025/05/01 01:55:00,1492.9,78.67,TRADE
SA1,2025/05/01 02:00:00,1479.23,78.83,TRADE
SA1,2025/05/01 02:05:00,1469.72,79.69,TRADE
SA1,2025/05/01 02:10:00,1468.26,79.41,TRADE
SA1,2025/05/01 02:15:00,1419.55,77.40,TRADE
SA1,2025/05/01 02:20:00,1432.72,80.64,TRADE
SA1,2025/05/01 02:25:00,1439.04,81.03,TRADE
SA1,2025/05/01 02:30:00,1423.42,79.97,TRADE
SA1,2025/05/01 02:35:00,1402.59,79.20,TRADE
SA1,2025/05/01 02:40:00,1390.68,78.84,TRADE
SA1,2025/05/01 02:45:00,1368.46,78.31,TRADE
SA1,2025/05/01 02:50:00,1366.63,78.33,TRADE
SA1,2025/05/01 02:55:00,1343.75,78.08,TRADE
SA1,2025/05/01 03:00:00,1345.17,78.98,TRADE
SA1,2025/05/01 03:05:00,1357.43,79.15,TRADE
SA1,2025/05/01 03:10:00,1372.5,82.32,TRADE
SA1,2025/05/01 03:15:00,1347.14,79.35,TRADE
SA1,2025/05/01 03:20:00,1338.42,79.31,TRADE
SA1,2025/05/01 03:25:00,1329.25,79.48,TRADE
SA1,2025/05/01 03:30:00,1334.47,77.29,TRADE
SA1,2025/05/01 03:35:00,1330.58,78.84,TRADE
SA1,2025/05/01 03:40:00,1327.85,78.27,TRADE
SA1,2025/05/01 03:45:00,1329.82,77.47,TRADE
SA1,2025/05/01 03:50:00,1319.87,78.54,TRADE
SA1,2025/05/01 03:55:00,1312.82,79.08,TRADE
SA1,2025/05/01 04:00:00,1314.36,78.52,TRADE
SA1,2025/05/01 04:05:00,1328.16,76.98,TRADE
SA1,2025/05/01 04:10:00,1325.98,77.94,TRADE
SA1,2025/05/01 04:15:00,1310.56,78.05,TRADE
SA1,2025/05/01 04:20:00,1309.52,78.36,TRADE
SA1,2025/05/01 04:25:00,1323.34,79.37,TRADE
SA1,2025/05/01 04:30:00,1337.81,79.83,TRADE
SA1,2025/05/01 04:35:00,1321.27,79.35,TRADE
SA1,2025/05/01 04:40:00,1328.73,80.05,TRADE
SA1,2025/05/01 04:45:00,1309.43,79.94,TRADE
SA1,2025/05/01 04:50:00,1311.59,82.77,TRADE
SA1,2025/05/01 04:55:00,1331.96,84.58,TRADE
SA1,2025/05/01 05:00:00,1318.55,83.79,TRADE
SA1,2025/05/01 05:05:00,1342.53,83.13,TRADE
SA1,2025/05/01 05:10:00,1321.79,85.64,TRADE
SA1,2025/05/01 05:15:00,1341.56,86.82,TRADE
SA1,2025/05/01 05:20:00,1342.25,86.08,TRADE
SA1,2025/05/01 05:25:00,1337.47,86.34,TRADE
SA1,2025/05/01 05:30:00,1347.46,89.62,TRADE
SA1,2025/05/01 05:35:00,1337.49,88.44,TRADE
SA1,2025/05/01 05:40:00,1368.36,110.44,TRADE
SA1,2025/05/01 05:45:00,1355.52,105.90,TRADE
SA1,2025/05/01 05:50:00,1345.5,125,TRADE
SA1,2025/05/01 05:55:00,1382.05,129.99,TRADE
SA1,2025/05/01 06:00:00,1393.33,149.88,TRADE
SA1,2025/05/01 06:05:00,1371.65,127.05,TRADE
SA1,2025/05/01 06:10:00,1390.31,129.87,TRADE
SA1,2025/05/01 06:15:00,1396.61,135.49,TRADE
SA1,2025/05/01 06:20:00,1397.01,137.88,TRADE
SA1,2025/05/01 06:25:00,1409.68,161.33,TRADE
SA1,2025/05/01 06:30:00,1420.4,166.30,TRADE
SA1,2025/05/01 06:35:00,1417.52,160.99,TRADE
SA1,2025/05/01 06:40:00,1468.75,151.37,TRADE
SA1,2025/05/01 06:45:00,1492.97,154.88,TRADE
SA1,2025/05/01 06:50:00,1501.75,165.41,TRADE
SA1,2025/05/01 06:55:00,1517.35,176.19,TRADE
SA1,2025/05/01 07:00:00,1507.01,145.82,TRADE
SA1,2025/05/01 07:05:00,1543.36,144.14,TRADE
SA1,2025/05/01 07:10:00,1528.5,144.64,TRADE
SA1,2025/05/01 07:15:00,1532.01,138,TRADE
SA1,2025/05/01 07:20:00,1537.35,138,TRADE
