REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2023/06/01 00:05:00,1543.87,20.92,TRADE
SA1,2023/06/01 00:10:00,1575.4,-3.49,TRADE
SA1,2023/06/01 00:15:00,1582.68,-5.05,TRADE
SA1,2023/06/01 00:20:00,1574.07,-46.90,TRADE
SA1,2023/06/01 00:25:00,1580.57,-14,TRADE
SA1,2023/06/01 00:30:00,1575.08,-13.61,TRADE
SA1,2023/06/01 00:35:00,1573.85,-5.64,TRADE
SA1,2023/06/01 00:40:00,1571.28,-14.13,TRADE
SA1,2023/06/01 00:45:00,1578.48,-8.21,TRADE
SA1,2023/06/01 00:50:00,1573.49,-4.59,TRADE
SA1,2023/06/01 00:55:00,1556.01,-12.13,TRADE
SA1,2023/06/01 01:00:00,1551.68,-14.59,TRADE
SA1,2023/06/01 01:05:00,1564.92,1.10,TRADE
SA1,2023/06/01 01:10:00,1532.18,-13.29,TRADE
SA1,2023/06/01 01:15:00,1533.14,-13.92,TRADE
SA1,2023/06/01 01:20:00,1507.99,-12.92,TRADE
SA1,2023/06/01 01:25:00,1497.26,-48.56,TRADE
SA1,2023/06/01 01:30:00,1479.16,-48.67,TRADE
SA1,2023/06/01 01:35:00,1463.8,-48.31,TRADE
SA1,2023/06/01 01:40:00,1480.93,-14.67,TRADE
SA1,2023/06/01 01:45:00,1476.12,-13.29,TRADE
SA1,2023/06/01 01:50:00,1468.57,-15.76,TRADE
SA1,2023/06/01 01:55:00,1449.91,-13.94,TRADE
SA1,2023/06/01 02:00:00,1447.96,-14,TRADE
SA1,2023/06/01 02:05:00,1422.22,-13.07,TRADE
SA1,2023/06/01 02:10:00,1421.96,-14.81,TRADE
SA1,2023/06/01 02:15:00,1413.94,-15.97,TRADE
SA1,2023/06/01 02:20:00,1388.58,-48.06,TRADE
SA1,2023/06/01 02:25:00,1401.15,-13.94,TRADE
SA1,2023/06/01 02:30:00,1387.95,-13.94,TRADE
SA1,2023/06/01 02:35:00,1377.42,-13.47,TRADE
SA1,2023/06/01 02:40:00,1349.94,-48.83,TRADE
SA1,2023/06/01 02:45:00,1347.14,-49.19,TRADE
SA1,2023/06/01 02:50:00,1351.6,-16.30,TRADE
SA1,2023/06/01 02:55:00,1332.85,-16.74,TRADE
SA1,2023/06/01 03:00:00,1329.45,-14.50,TRADE
SA1,2023/06/01 03:05:00,1303.14,-14.02,TRADE
SA1,2023/06/01 03:10:00,1297.66,-16.77,TRADE
SA1,2023/06/01 03:15:00,1277.51,-12.39,TRADE
SA1,2023/06/01 03:20:00,1287.07,-0.55,TRADE
SA1,2023/06/01 03:25:00,1289.69,-1.57,TRADE
SA1,2023/06/01 03:30:00,1269.32,-12.79,TRADE
SA1,2023/06/01 03:35:00,1267.29,48.67,TRADE
SA1,2023/06/01 03:40:00,1260.14,53.11,TRADE
SA1,2023/06/01 03:45:00,1253.79,-1.88,TRADE
SA1,2023/06/01 03:50:00,1231.42,14.23,TRADE
SA1,2023/06/01 03:55:00,1238.2,67.47,TRADE
SA1,2023/06/01 04:00:00,1236.75,64.26,TRADE
SA1,2023/06/01 04:05:00,1223.7,20.66,TRADE
SA1,2023/06/01 04:10:00,1229.94,1.19,TRADE
SA1,2023/06/01 04:15:00,1226.65,32.32,TRADE
SA1,2023/06/01 04:20:00,1227.58,-18.47,TRADE
SA1,2023/06/01 04:25:00,1225.83,8.02,TRADE
