REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2023/12/01 00:05:00,1399.52,21.21,TRADE
SA1,2023/12/01 00:10:00,1420.21,21.32,TRADE
SA1,2023/12/01 00:15:00,1438.7,10.13,TRADE
SA1,2023/12/01 00:20:00,1435.5,21.42,TRADE
SA1,2023/12/01 00:25:00,1438.74,21.53,TRADE
SA1,2023/12/01 00:30:00,1447.09,21.53,TRADE
SA1,2023/12/01 00:35:00,1405.45,9.99,TRADE
SA1,2023/12/01 00:40:00,1434.94,10.14,TRADE
SA1,2023/12/01 00:45:00,1439.93,21.53,TRADE
SA1,2023/12/01 00:50:00,1440.58,21.75,TRADE
SA1,2023/12/01 00:55:00,1430.39,10.29,TRADE
SA1,2023/12/01 01:00:00,1415.88,10.14,TRADE
SA1,2023/12/01 01:05:00,1399.67,10.14,TRADE
SA1,2023/12/01 01:10:00,1381.62,10.09,TRADE
SA1,2023/12/01 01:15:00,1372.8,10.14,TRADE
SA1,2023/12/01 01:20:00,1370.06,10.14,TRADE
SA1,2023/12/01 01:25:00,1374.25,10.14,TRADE
SA1,2023/12/01 01:30:00,1367.35,10.09,TRADE
SA1,2023/12/01 01:35:00,1373.63,21.05,TRADE
SA1,2023/12/01 01:40:00,1350.44,10.04,TRADE
SA1,2023/12/01 01:45:00,1350.6,9.99,TRADE
SA1,2023/12/01 01:50:00,1337.69,9.94,TRADE
SA1,2023/12/01 01:55:00,1339.59,9.94,TRADE
SA1,2023/12/01 02:00:00,1332.7,9.89,TRADE
SA1,2023/12/01 02:05:00,1334.48,9.84,TRADE
SA1,2023/12/01 02:10:00,1352.99,21.01,TRADE
SA1,2023/12/01 02:15:00,1337.96,9.84,TRADE
SA1,2023/12/01 02:20:00,1322.06,20.85,TRADE
SA1,2023/12/01 02:25:00,1280.83,11.89,TRADE
SA1,2023/12/01 02:30:00,1302.64,9.80,TRADE
SA1,2023/12/01 02:35:00,1311.41,9.84,TRADE
SA1,2023/12/01 02:40:00,1282.59,9.80,TRADE
SA1,2023/12/01 02:45:00,1265.35,9.75,TRADE
SA1,2023/12/01 02:50:00,1276.23,9.94,TRADE
SA1,2023/12/01 02:55:00,1265.4,21.02,TRADE
SA1,2023/12/01 03:00:00,1247.93,21.12,TRADE
SA1,2023/12/01 03:05:00,1246.1,21.12,TRADE
SA1,2023/12/01 03:10:00,1220.95,21.02,TRADE
SA1,2023/12/01 03:15:00,1221.46,21.13,TRADE
SA1,2023/12/01 03:20:00,1215.5,21.22,TRADE
