REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2025/07/01 00:05:00,1715.68,172.48,TRADE
SA1,2025/07/01 00:10:00,1693.13,178.98,TRADE
SA1,2025/07/01 00:15:00,1703.94,170.53,TRADE
SA1,2025/07/01 00:20:00,1709.12,186.69,TRADE
SA1,2025/07/01 00:25:00,1701.3,190.27,TRADE
SA1,2025/07/01 00:30:00,1696.91,195.27,TRADE
SA1,2025/07/01 00:35:00,1679.43,188.98,TRADE
SA1,2025/07/01 00:40:00,1695.33,192.33,TRADE
SA1,2025/07/01 00:45:00,1691.35,162.46,TRADE
SA1,2025/07/01 00:50:00,1688.2,186.13,TRADE
SA1,2025/07/01 00:55:00,1682.28,170.53,TRADE
SA1,2025/07/01 01:00:00,1678.37,168.67,TRADE
SA1,2025/07/01 01:05:00,1673.14,167.11,TRADE
SA1,2025/07/01 01:10:00,1683.2,187.64,TRADE
SA1,2025/07/01 01:15:00,1662.5,163.32,TRADE
SA1,2025/07/01 01:20:00,1657.52,182.47,TRADE
SA1,2025/07/01 01:25:00,1639.75,166.38,TRADE
SA1,2025/07/01 01:30:00,1634.3,166.39,TRADE
SA1,2025/07/01 01:35:00,1608.25,184.41,TRADE
SA1,2025/07/01 01:40:00,1606.6,182.08,TRADE
SA1,2025/07/01 01:45:00,1601.46,182.56,TRADE
SA1,2025/07/01 01:50:00,1593.8,182.27,TRADE
SA1,2025/07/01 01:55:00,1590.05,168.83,TRADE
SA1,2025/07/01 02:00:00,1596.09,166.51,TRADE
SA1,2025/07/01 02:05:00,1592.06,163.13,TRADE
SA1,2025/07/01 02:10:00,1606.13,165.99,TRADE
SA1,2025/07/01 02:15:00,1589.31,164.08,TRADE
SA1,2025/07/01 02:20:00,1582.95,150.37,TRADE
SA1,2025/07/01 02:25:00,1578.57,148.61,TRADE
SA1,2025/07/01 02:30:00,1578.59,150.87,TRADE
SA1,2025/07/01 02:35:00,1552.24,170.53,TRADE
SA1,2025/07/01 02:40:00,1543.67,150.07,TRADE
SA1,2025/07/01 02:45:00,1549.73,140.31,TRADE
SA1,2025/07/01 02:50:00,1539.69,146.95,TRADE
SA1,2025/07/01 02:55:00,1529.22,170.53,TRADE
SA1,2025/07/01 03:00:00,1516.96,310.22,TRADE
SA1,2025/07/01 03:05:00,1509.78,108.94,TRADE
SA1,2025/07/01 03:10:00,1507.24,115.31,TRADE
SA1,2025/07/01 03:15:00,1519.41,145.95,TRADE
SA1,2025/07/01 03:20:00,1512.28,136.79,TRADE
SA1,2025/07/01 03:25:00,1502.71,156.93,TRADE
SA1,2025/07/01 03:30:00,1506.51,170.53,TRADE
SA1,2025/07/01 03:35:00,1499.04,112.03,TRADE
SA1,2025/07/01 03:40:00,1500.94,170.53,TRADE
SA1,2025/07/01 03:45:00,1490.32,126.23,TRADE
SA1,2025/07/01 03:50:00,1487.55,123.14,TRADE
SA1,2025/07/01 03:55:00,1485.84,107.04,TRADE
SA1,2025/07/01 04:00:00,1491.69,274.08,TRADE
SA1,2025/07/01 04:05:00,1472.94,170.53,TRADE
SA1,2025/07/01 04:10:00,1476.81,178.70,TRADE
SA1,2025/07/01 04:15:00,1469.39,170.53,TRADE
SA1,2025/07/01 04:20:00,1466.93,344.62,TRADE
SA1,2025/07/01 04:25:00,1447.69,299.59,TRADE
SA1,2025/07/01 04:30:00,1437.32,143.14,TRADE
SA1,2025/07/01 04:35:00,1446.78,352.22,TRADE
SA1,2025/07/01 04:40:00,1444.02,124.59,TRADE
SA1,2025/07/01 04:45:00,1466.15,344.62,TRADE
SA1,2025/07/01 04:50:00,1453.81,299.59,TRADE
SA1,2025/07/01 04:55:00,1458.98,170.53,TRADE
SA1,2025/07/01 05:00:00,1463.71,124,TRADE
SA1,2025/07/01 05:05:00,1492.49,229,TRADE
SA1,2025/07/01 05:10:00,1487.97,124,TRADE
SA1,2025/07/01 05:15:00,1499.53,127.88,TRADE
SA1,2025/07/01 05:20:00,1503.16,379.95,TRADE
SA1,2025/07/01 05:25:00,1502.76,300.01,TRADE
SA1,2025/07/01 05:30:00,1511.65,299.59,TRADE
SA1,2025/07/01 05:35:00,1534.06,162.15,TRADE
SA1,2025/07/01 05:40:00,1565.21,229,TRADE
SA1,2025/07/01 05:45:00,1569.88,347.62,TRADE
SA1,2025/07/01 05:50:00,1573.18,299.59,TRADE
SA1,2025/07/01 05:55:00,1571.14,299.59,TRADE
SA1,2025/07/01 06:00:00,1595.79,344.62,TRADE
SA1,2025/07/01 06:05:00,1602.9,170.53,TRADE
SA1,2025/07/01 06:10:00,1635.96,344.62,TRADE
SA1,2025/07/01 06:15:00,1625.23,170.53,TRADE
SA1,2025/07/01 06:20:00,1665.14,170.53,TRADE
SA1,2025/07/01 06:25:00,1694.46,379.95,TRADE
SA1,2025/07/01 06:30:00,1698.91,591.89,TRADE
SA1,2025/07/01 06:35:00,1698.31,379.95,TRADE
SA1,2025/07/01 06:40:00,1740.32,300.01,TRADE
SA1,2025/07/01 06:45:00,1777.14,379.95,TRADE
SA1,2025/07/01 06:50:00,1804.16,360.55,TRADE
SA1,2025/07/01 06:55:00,1841.61,379.95,TRADE
SA1,2025/07/01 07:00:00,1853.34,379.95,TRADE
SA1,2025/07/01 07:05:00,1857.66,550.72,TRADE
SA1,2025/07/01 07:10:00,1852.82,300.01,TRADE
SA1,2025/07/01 07:15:00,1899.68,300.01,TRADE
SA1,2025/07/01 07:20:00,1919.59,372.40,TRADE
SA1,2025/07/01 07:25:00,1969.8,300.01,TRADE
SA1,2025/07/01 07:30:00,2004.58,360.55,TRADE
SA1,2025/07/01 07:35:00,2011.82,299.59,TRADE
SA1,2025/07/01 07:40:00,2064.66,299.59,TRADE
SA1,2025/07/01 07:45:00,2108.43,299.98,TRADE
SA1,2025/07/01 07:50:00,2131.56,300,TRADE
SA1,2025/07/01 07:55:00,2165.54,276.63,TRADE
SA1,2025/07/01 08:00:00,2189.14,299.59,TRADE
SA1,2025/07/01 08:05:00,2213.4,299.98,TRADE
SA1,2025/07/01 08:10:00,2244.48,330,TRADE
SA1,2025/07/01 08:15:00,2228.17,276.63,TRADE
SA1,2025/07/01 08:20:00,2248,276.64,TRADE
SA1,2025/07/01 08:25:00,2257.33,275.98,TRADE
SA1,2025/07/01 08:30:00,2229.63,275.98,TRADE
SA1,2025/07/01 08:35:00,2200.09,275.98,TRADE
SA1,2025/07/01 08:40:00,2191.56,275.98,TRADE
SA1,2025/07/01 08:45:00,2166.65,330,TRADE
SA1,2025/07/01 08:50:00,2140.32,344.62,TRADE
SA1,2025/07/01 08:55:00,2099.39,301.90,TRADE
SA1,2025/07/01 09:00:00,2059.77,299.59,TRADE
SA1,2025/07/01 09:05:00,2008.88,229.99,TRADE
SA1,2025/07/01 09:10:00,1976.31,300,TRADE
SA1,2025/07/01 09:15:00,1918.2,229.99,TRADE
SA1,2025/07/01 09:20:00,1912.66,229.99,TRADE
SA1,2025/07/01 09:25:00,1879.06,208.81,TRADE
SA1,2025/07/01 09:30:00,1849.53,229,TRADE
SA1,2025/07/01 09:35:00,1796.84,207.52,TRADE
SA1,2025/07/01 09:40:00,1762.66,200.01,TRADE
SA1,2025/07/01 09:45:00,1721.68,229.99,TRADE
SA1,2025/07/01 09:50:00,1681.28,229.99,TRADE
SA1,2025/07/01 09:55:00,1652.95,213.25,TRADE
