REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2025/10/01 00:05:00,1565.38,0.01,TRADE
SA1,2025/10/01 00:10:00,1561.57,8.08,TRADE
SA1,2025/10/01 00:15:00,1561.83,8.25,TRADE
SA1,2025/10/01 00:20:00,1584.7,8.34,TRADE
SA1,2025/10/01 00:25:00,1583.73,8.38,TRADE
SA1,2025/10/01 00:30:00,1586.76,8.43,TRADE
SA1,2025/10/01 00:35:00,1593.87,8.36,TRADE
SA1,2025/10/01 00:40:00,1597.61,8.40,TRADE
SA1,2025/10/01 00:45:00,1589.78,8.36,TRADE
SA1,2025/10/01 00:50:00,1571.5,8.31,TRADE
SA1,2025/10/01 00:55:00,1574.36,7.43,TRADE
SA1,2025/10/01 01:00:00,1578.6,8.36,TRADE
SA1,2025/10/01 01:05:00,1573.69,8.36,TRADE
SA1,2025/10/01 01:10:00,1558.17,7.39,TRADE
SA1,2025/10/01 01:15:00,1551.64,0.01,TRADE
SA1,2025/10/01 01:20:00,1542.34,7.32,TRADE
SA1,2025/10/01 01:25:00,1526.05,0,TRADE
SA1,2025/10/01 01:30:00,1530.21,0.01,TRADE
SA1,2025/10/01 01:35:00,1527.76,0.01,TRADE
SA1,2025/10/01 01:40:00,1549.4,0.01,TRADE
SA1,2025/10/01 01:45:00,1539.55,0,TRADE
SA1,2025/10/01 01:50:00,1513.45,-0.05,TRADE
SA1,2025/10/01 01:55:00,1507.07,-5.42,TRADE
SA1,2025/10/01 02:00:00,1503.9,-5.47,TRADE
SA1,2025/10/01 02:05:00,1536.68,-5.56,TRADE
SA1,2025/10/01 02:10:00,1522.89,-5.58,TRADE
SA1,2025/10/01 02:15:00,1512.01,-5.54,TRADE
SA1,2025/10/01 02:20:00,1494.26,-9,TRADE
SA1,2025/10/01 02:25:00,1495.21,-9.04,TRADE
SA1,2025/10/01 02:30:00,1470.49,-8.90,TRADE
SA1,2025/10/01 02:35:00,1454.85,-8.85,TRADE
SA1,2025/10/01 02:40:00,1455.68,-8.85,TRADE
SA1,2025/10/01 02:45:00,1461.61,-8.91,TRADE
SA1,2025/10/01 02:50:00,1468.69,-8.91,TRADE
SA1,2025/10/01 02:55:00,1454.37,-8.91,TRADE
SA1,2025/10/01 03:00:00,1441.52,-8.81,TRADE
SA1,2025/10/01 03:05:00,1431.17,-8.77,TRADE
SA1,2025/10/01 03:10:00,1467.31,-8.87,TRADE
SA1,2025/10/01 03:15:00,1450.57,-8.73,TRADE
SA1,2025/10/01 03:20:00,1438.77,-8.72,TRADE
SA1,2025/10/01 03:25:00,1423.47,-8.72,TRADE
SA1,2025/10/01 03:30:00,1418.18,-8.66,TRADE
SA1,2025/10/01 03:35:00,1433.39,-8.72,TRADE
SA1,2025/10/01 03:40:00,1431.39,-8.83,TRADE
SA1,2025/10/01 03:45:00,1417.48,-8.74,TRADE
SA1,2025/10/01 03:50:00,1411.86,-8.70,TRADE
SA1,2025/10/01 03:55:00,1418.47,-8.71,TRADE
SA1,2025/10/01 04:00:00,1396.53,-8.66,TRADE
