REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2024/09/01 00:05:00,1411.93,-43.18,TRADE
SA1,2024/09/01 00:10:00,1414.78,-38.91,TRADE
SA1,2024/09/01 00:15:00,1413.14,-38.77,TRADE
SA1,2024/09/01 00:20:00,1424.58,-39.77,TRADE
SA1,2024/09/01 00:25:00,1413.67,-39.21,TRADE
SA1,2024/09/01 00:30:00,1429.28,-43.39,TRADE
SA1,2024/09/01 00:35:00,1422.64,-44.44,TRADE
SA1,2024/09/01 00:40:00,1437.51,-39.59,TRADE
SA1,2024/09/01 00:45:00,1441.02,-39.52,TRADE
SA1,2024/09/01 00:50:00,1428.83,-43.79,TRADE
SA1,2024/09/01 00:55:00,1416.88,-40.65,TRADE
SA1,2024/09/01 01:00:00,1400.4,-43.92,TRADE
SA1,2024/09/01 01:05:00,1403.54,-39.01,TRADE
SA1,2024/09/01 01:10:00,1418.09,-43.32,TRADE
SA1,2024/09/01 01:15:00,1407.34,-43.93,TRADE
SA1,2024/09/01 01:20:00,1378.2,-43.09,TRADE
SA1,2024/09/01 01:25:00,1382.91,-42.97,TRADE
SA1,2024/09/01 01:30:00,1373.4,-44.51,TRADE
SA1,2024/09/01 01:35:00,1350.13,-44.51,TRADE
SA1,2024/09/01 01:40:00,1339.64,-45,TRADE
SA1,2024/09/01 01:45:00,1335.93,-43.50,TRADE
SA1,2024/09/01 01:50:00,1343.66,-47.36,TRADE
SA1,2024/09/01 01:55:00,1359.66,-49.24,TRADE
SA1,2024/09/01 02:00:00,1348.74,-45,TRADE
SA1,2024/09/01 02:05:00,1337.82,-45.01,TRADE
SA1,2024/09/01 02:10:00,1321,-47.93,TRADE
SA1,2024/09/01 02:15:00,1323.58,-48.10,TRADE
SA1,2024/09/01 02:20:00,1311.8,-50.52,TRADE
SA1,2024/09/01 02:25:00,1294.36,-50.33,TRADE
SA1,2024/09/01 02:30:00,1285.87,-50.07,TRADE
SA1,2024/09/01 02:35:00,1277.42,-48.03,TRADE
SA1,2024/09/01 02:40:00,1282.35,-45,TRADE
SA1,2024/09/01 02:45:00,1271.47,-44.45,TRADE
SA1,2024/09/01 02:50:00,1270.72,-43.41,TRADE
SA1,2024/09/01 02:55:00,1264.65,-46.83,TRADE
SA1,2024/09/01 03:00:00,1261.99,-47.82,TRADE
SA1,2024/09/01 03:05:00,1246,-48.43,TRADE
SA1,2024/09/01 03:10:00,1253.74,-46.77,TRADE
SA1,2024/09/01 03:15:00,1247.85,-46.77,TRADE
SA1,2024/09/01 03:20:00,1226.78,-48.52,TRADE
SA1,2024/09/01 03:25:00,1220.33,-46.77,TRADE
SA1,2024/09/01 03:30:00,1215.62,-48.45,TRADE
SA1,2024/09/01 03:35:00,1201.7,-48.29,TRADE
SA1,2024/09/01 03:40:00,1208.9,-48.36,TRADE
SA1,2024/09/01 03:45:00,1213.49,-48.24,TRADE
SA1,2024/09/01 03:50:00,1217.65,-48.64,TRADE
SA1,2024/09/01 03:55:00,1207.63,-48.19,TRADE
SA1,2024/09/01 04:00:00,1206.69,-46.77,TRADE
SA1,2024/09/01 04:05:00,1198.82,-49.49,TRADE
SA1,2024/09/01 04:10:00,1224.27,-50.16,TRADE
SA1,2024/09/01 04:15:00,1220.41,-50.01,TRADE
SA1,2024/09/01 04:20:00,1200.54,-47.78,TRADE
SA1,2024/09/01 04:25:00,1195.93,-49.67,TRADE
SA1,2024/09/01 04:30:00,1186.95,-49.82,TRADE
SA1,2024/09/01 04:35:00,1179.04,-49.64,TRADE
SA1,2024/09/01 04:40:00,1167.18,-49.60,TRADE
SA1,2024/09/01 04:45:00,1162.68,-49.44,TRADE
SA1,2024/09/01 04:50:00,1154.03,-49.04,TRADE
SA1,2024/09/01 04:55:00,1157.26,-49.04,TRADE
SA1,2024/09/01 05:00:00,1151.94,-49.01,TRADE
SA1,2024/09/01 05:05:00,1154.84,-48.85,TRADE
SA1,2024/09/01 05:10:00,1156.38,-48.79,TRADE
SA1,2024/09/01 05:15:00,1158.61,-48.84,TRADE
SA1,2024/09/01 05:20:00,1164.4,-46.82,TRADE
SA1,2024/09/01 05:25:00,1149.08,-46.77,TRADE
SA1,2024/09/01 05:30:00,1159.61,-46.77,TRADE
SA1,2024/09/01 05:35:00,1169.95,-46.77,TRADE
SA1,2024/09/01 05:40:00,1176.16,-49.02,TRADE
SA1,2024/09/01 05:45:00,1162.77,-48.98,TRADE
SA1,2024/09/01 05:50:00,1168.21,-47.17,TRADE
SA1,2024/09/01 05:55:00,1173.83,-47.35,TRADE
SA1,2024/09/01 06:00:00,1164.98,-48.33,TRADE
SA1,2024/09/01 06:05:00,1168.52,-47.01,TRADE
SA1,2024/09/01 06:10:00,1178.33,-49.09,TRADE
SA1,2024/09/01 06:15:00,1161.92,-48.89,TRADE
SA1,2024/09/01 06:20:00,1171.88,-49.08,TRADE
SA1,2024/09/01 06:25:00,1172.72,-47.25,TRADE
SA1,2024/09/01 06:30:00,1177.1,-47.26,TRADE
SA1,2024/09/01 06:35:00,1178.3,-47.44,TRADE
SA1,2024/09/01 06:40:00,1171.11,-46.77,TRADE
SA1,2024/09/01 06:45:00,1188.77,-41.66,TRADE
SA1,2024/09/01 06:50:00,1196.44,-45.01,TRADE
SA1,2024/09/01 06:55:00,1196.82,-41.85,TRADE
SA1,2024/09/01 07:00:00,1207.25,-44.45,TRADE
SA1,2024/09/01 07:05:00,1217.36,-42.11,TRADE
SA1,2024/09/01 07:10:00,1208.45,-42.41,TRADE
