REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2023/07/01 00:05:00,1596,113.61,TRADE
SA1,2023/07/01 00:10:00,1593.92,114.17,TRADE
SA1,2023/07/01 00:15:00,1603.94,114.17,TRADE
SA1,2023/07/01 00:20:00,1611.01,99.38,TRADE
SA1,2023/07/01 00:25:00,1603.95,91.71,TRADE
SA1,2023/07/01 00:30:00,1589.22,94.64,TRADE
SA1,2023/07/01 00:35:00,1585.87,95.10,TRADE
SA1,2023/07/01 00:40:00,1593.79,91.10,TRADE
SA1,2023/07/01 00:45:00,1603.3,76.24,TRADE
SA1,2023/07/01 00:50:00,1613.17,67.82,TRADE
SA1,2023/07/01 00:55:00,1613.57,86.51,TRADE
SA1,2023/07/01 01:00:00,1596.02,89.16,TRADE
SA1,2023/07/01 01:05:00,1579.04,88.95,TRADE
SA1,2023/07/01 01:10:00,1557.57,69.86,TRADE
SA1,2023/07/01 01:15:00,1539.75,75.15,TRADE
SA1,2023/07/01 01:20:00,1519.81,87.46,TRADE
SA1,2023/07/01 01:25:00,1498.38,88.13,TRADE
SA1,2023/07/01 01:30:00,1490.24,69.50,TRADE
SA1,2023/07/01 01:35:00,1479.14,48.42,TRADE
SA1,2023/07/01 01:40:00,1508.84,58.74,TRADE
SA1,2023/07/01 01:45:00,1499.62,56.76,TRADE
SA1,2023/07/01 01:50:00,1494.27,88.92,TRADE
SA1,2023/07/01 01:55:00,1481.13,43.86,TRADE
SA1,2023/07/01 02:00:00,1448.98,52.38,TRADE
SA1,2023/07/01 02:05:00,1463.95,54.11,TRADE
SA1,2023/07/01 02:10:00,1460.5,45.01,TRADE
SA1,2023/07/01 02:15:00,1454.93,54.20,TRADE
SA1,2023/07/01 02:20:00,1445.17,139.43,TRADE
SA1,2023/07/01 02:25:00,1440.42,39.14,TRADE
SA1,2023/07/01 02:30:00,1424.06,48.46,TRADE
SA1,2023/07/01 02:35:00,1405.18,56.45,TRADE
SA1,2023/07/01 02:40:00,1389.9,71.91,TRADE
SA1,2023/07/01 02:45:00,1374.39,44.50,TRADE
SA1,2023/07/01 02:50:00,1367.01,42.73,TRADE
SA1,2023/07/01 02:55:00,1361.1,45.03,TRADE
SA1,2023/07/01 03:00:00,1343.2,91.51,TRADE
SA1,2023/07/01 03:05:00,1327.78,33.78,TRADE
SA1,2023/07/01 03:10:00,1332.75,40.80,TRADE
SA1,2023/07/01 03:15:00,1308.45,42.94,TRADE
