REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/04/01 00:30:00,1378.51,41.32,TRADE
SA1,2021/04/01 01:00:00,1304.38,38.44,TRADE
SA1,2021/04/01 01:30:00,1214.72,34.55,TRADE
SA1,2021/04/01 02:00:00,1167.61,33.48,TRADE
SA1,2021/04/01 02:30:00,1129.75,32.18,TRADE
SA1,2021/04/01 03:00:00,1107.31,30.77,TRADE
SA1,2021/04/01 03:30:00,1078.18,30.65,TRADE
SA1,2021/04/01 04:00:00,1063.69,31.96,TRADE
SA1,2021/04/01 04:30:00,1075.71,37.48,TRADE
SA1,2021/04/01 05:00:00,1136.6,37.68,TRADE
SA1,2021/04/01 05:30:00,1185.19,34.59,TRADE
SA1,2021/04/01 06:00:00,1262.78,37.47,TRADE
SA1,2021/04/01 06:30:00,1344.98,50.01,TRADE
SA1,2021/04/01 07:00:00,1428.78,55.13,TRADE
SA1,2021/04/01 07:30:00,1456.84,40.79,TRADE
SA1,2021/04/01 08:00:00,1351.35,32.93,TRADE
SA1,2021/04/01 08:30:00,1242.76,27.01,TRADE
SA1,2021/04/01 09:00:00,1142.64,24.19,TRADE
SA1,2021/04/01 09:30:00,1056.41,28.07,TRADE
SA1,2021/04/01 10:00:00,982.65,23.86,TRADE
SA1,2021/04/01 10:30:00,915.01,19.04,TRADE
SA1,2021/04/01 11:00:00,850.88,34.12,TRADE
SA1,2021/04/01 11:30:00,839.92,56.57,TRADE
SA1,2021/04/01 12:00:00,814.16,61.17,TRADE
SA1,2021/04/01 12:30:00,800.76,40.54,TRADE
SA1,2021/04/01 13:00:00,799.72,44.75,TRADE
SA1,2021/04/01 13:30:00,818.66,51.57,TRADE
SA1,2021/04/01 14:00:00,868.73,68.59,TRADE
SA1,2021/04/01 14:30:00,917.65,39.24,TRADE
SA1,2021/04/01 15:00:00,974.04,45.43,TRADE
SA1,2021/04/01 15:30:00,1062.45,51.11,TRADE
SA1,2021/04/01 16:00:00,1194.2,42.72,TRADE
SA1,2021/04/01 16:30:00,1326.87,42.30,TRADE
SA1,2021/04/01 17:00:00,1464.05,54.05,TRADE
SA1,2021/04/01 17:30:00,1587.94,53.75,TRADE
SA1,2021/04/01 18:00:00,1697.17,108.03,TRADE
SA1,2021/04/01 18:30:00,1757.78,70.02,TRADE
SA1,2021/04/01 19:00:00,1752.02,51.12,TRADE
SA1,2021/04/01 19:30:00,1691.35,45.71,TRADE
SA1,2021/04/01 20:00:00,1597.74,40.08,TRADE
SA1,2021/04/01 20:30:00,1498.33,38.79,TRADE
SA1,2021/04/01 21:00:00,1437.9,45.90,TRADE
SA1,2021/04/01 21:30:00,1388.04,38.67,TRADE
SA1,2021/04/01 22:00:00,1349.77,34,TRADE
SA1,2021/04/01 22:30:00,1280.98,35.09,TRADE
SA1,2021/04/01 23:00:00,1256.18,32.52,TRADE
SA1,2021/04/01 23:30:00,1226.94,34.51,TRADE
SA1,2021/04/02 00:00:00,1375.74,36.54,TRADE
SA1,2021/04/02 00:30:00,1358.91,33.47,TRADE
SA1,2021/04/02 01:00:00,1303.31,33.58,TRADE
