REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/03/01 00:30:00,1331.46,63.72,TRADE
SA1,2021/03/01 01:00:00,1298.18,62,TRADE
SA1,2021/03/01 01:30:00,1242.08,68.72,TRADE
SA1,2021/03/01 02:00:00,1192.15,91.96,TRADE
SA1,2021/03/01 02:30:00,1154.39,73.48,TRADE
SA1,2021/03/01 03:00:00,1149.99,71.24,TRADE
SA1,2021/03/01 03:30:00,1128.62,62,TRADE
SA1,2021/03/01 04:00:00,1115.36,101.48,TRADE
SA1,2021/03/01 04:30:00,1097.73,117.63,TRADE
SA1,2021/03/01 05:00:00,1121.29,84.89,TRADE
SA1,2021/03/01 05:30:00,1149.8,100.82,TRADE
SA1,2021/03/01 06:00:00,1185.97,73.77,TRADE
SA1,2021/03/01 06:30:00,1292.6,101.48,TRADE
SA1,2021/03/01 07:00:00,1371.52,110.91,TRADE
SA1,2021/03/01 07:30:00,1400.59,80.72,TRADE
SA1,2021/03/01 08:00:00,1267.95,57.25,TRADE
SA1,2021/03/01 08:30:00,1175.42,5.10,TRADE
SA1,2021/03/01 09:00:00,1055.5,41.41,TRADE
SA1,2021/03/01 09:30:00,959.52,6.36,TRADE
SA1,2021/03/01 10:00:00,901.95,-44.73,TRADE
SA1,2021/03/01 10:30:00,921.44,-33.98,TRADE
SA1,2021/03/01 11:00:00,791.95,-59.83,TRADE
SA1,2021/03/01 11:30:00,846.19,-97.93,TRADE
SA1,2021/03/01 12:00:00,724.31,-140.01,TRADE
SA1,2021/03/01 12:30:00,756.1,-7.80,TRADE
SA1,2021/03/01 13:00:00,710.95,-59.99,TRADE
SA1,2021/03/01 13:30:00,797.98,-33.90,TRADE
SA1,2021/03/01 14:00:00,756.24,-34.68,TRADE
SA1,2021/03/01 14:30:00,706.37,-36.55,TRADE
SA1,2021/03/01 15:00:00,746.85,-53.63,TRADE
SA1,2021/03/01 15:30:00,798.44,-49.16,TRADE
