REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/08/01 00:30:00,1551.82,113.92,TRADE
SA1,2021/08/01 01:00:00,1525.15,148.29,TRADE
SA1,2021/08/01 01:30:00,1491.23,147.87,TRADE
SA1,2021/08/01 02:00:00,1418.4,109.90,TRADE
SA1,2021/08/01 02:30:00,1338.84,141.90,TRADE
SA1,2021/08/01 03:00:00,1266.03,94.23,TRADE
SA1,2021/08/01 03:30:00,1202.47,51.98,TRADE
SA1,2021/08/01 04:00:00,1152.38,11.43,TRADE
SA1,2021/08/01 04:30:00,1147.12,15.99,TRADE
SA1,2021/08/01 05:00:00,1146.05,118.59,TRADE
SA1,2021/08/01 05:30:00,1145.92,151.43,TRADE
SA1,2021/08/01 06:00:00,1164.82,143.59,TRADE
SA1,2021/08/01 06:30:00,1180.38,79.19,TRADE
SA1,2021/08/01 07:00:00,1208.45,98.06,TRADE
SA1,2021/08/01 07:30:00,1244.96,79.73,TRADE
SA1,2021/08/01 08:00:00,1299.08,52.83,TRADE
SA1,2021/08/01 08:30:00,1327.76,75.34,TRADE
SA1,2021/08/01 09:00:00,1320.03,72.20,TRADE
SA1,2021/08/01 09:30:00,1270.76,117.51,TRADE
SA1,2021/08/01 10:00:00,1206.54,31.19,TRADE
SA1,2021/08/01 10:30:00,1130.24,38.59,TRADE
SA1,2021/08/01 11:00:00,1078.15,28.65,TRADE
SA1,2021/08/01 11:30:00,1005.02,-26.40,TRADE
SA1,2021/08/01 12:00:00,936,-20.01,TRADE
SA1,2021/08/01 12:30:00,785.21,-26.02,TRADE
SA1,2021/08/01 13:00:00,768.98,-35.29,TRADE
SA1,2021/08/01 13:30:00,725.63,-10.62,TRADE
SA1,2021/08/01 14:00:00,649.46,-15.72,TRADE
SA1,2021/08/01 14:30:00,623.62,-4.94,TRADE
SA1,2021/08/01 15:00:00,634.83,1.95,TRADE
SA1,2021/08/01 15:30:00,682.46,-15.70,TRADE
SA1,2021/08/01 16:00:00,763.77,-3.81,TRADE
SA1,2021/08/01 16:30:00,895.79,56.54,TRADE
SA1,2021/08/01 17:00:00,1105.2,77,TRADE
SA1,2021/08/01 17:30:00,1372.31,127.15,TRADE
SA1,2021/08/01 18:00:00,1618.52,300.88,TRADE
SA1,2021/08/01 18:30:00,1786.32,289.78,TRADE
SA1,2021/08/01 19:00:00,1883.3,242.02,TRADE
SA1,2021/08/01 19:30:00,1893.45,237.15,TRADE
SA1,2021/08/01 20:00:00,1869.15,147.97,TRADE
SA1,2021/08/01 20:30:00,1805.66,132.91,TRADE
SA1,2021/08/01 21:00:00,1738.36,103.31,TRADE
SA1,2021/08/01 21:30:00,1697.76,130.01,TRADE
