REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/05/01 00:30:00,1379.85,31.45,TRADE
SA1,2021/05/01 01:00:00,1322.93,19.60,TRADE
SA1,2021/05/01 01:30:00,1225.5,10.41,TRADE
SA1,2021/05/01 02:00:00,1144.56,4.48,TRADE
SA1,2021/05/01 02:30:00,1087.32,-1.63,TRADE
SA1,2021/05/01 03:00:00,1061.8,-8.61,TRADE
SA1,2021/05/01 03:30:00,1041.78,-18.76,TRADE
SA1,2021/05/01 04:00:00,1029.2,-0.90,TRADE
SA1,2021/05/01 04:30:00,1019.52,-5.09,TRADE
SA1,2021/05/01 05:00:00,1012.18,-0.60,TRADE
SA1,2021/05/01 05:30:00,1009.23,5.65,TRADE
SA1,2021/05/01 06:00:00,1017.03,4.38,TRADE
SA1,2021/05/01 06:30:00,1024.97,8.35,TRADE
SA1,2021/05/01 07:00:00,1051.9,10.84,TRADE
SA1,2021/05/01 07:30:00,1074.1,18.53,TRADE
SA1,2021/05/01 08:00:00,1063.02,8.20,TRADE
SA1,2021/05/01 08:30:00,1054.59,-5.52,TRADE
SA1,2021/05/01 09:00:00,1089.25,-19.09,TRADE
SA1,2021/05/01 09:30:00,1115.15,7.81,TRADE
SA1,2021/05/01 10:00:00,1064.74,-32.49,TRADE
SA1,2021/05/01 10:30:00,984.37,-30.02,TRADE
SA1,2021/05/01 11:00:00,885.14,-94.49,TRADE
SA1,2021/05/01 11:30:00,848.56,-35.26,TRADE
SA1,2021/05/01 12:00:00,994.87,-8.65,TRADE
SA1,2021/05/01 12:30:00,972.06,-24.25,TRADE
SA1,2021/05/01 13:00:00,874.36,-86.14,TRADE
SA1,2021/05/01 13:30:00,829.98,-116.70,TRADE
SA1,2021/05/01 14:00:00,797.96,2.73,TRADE
SA1,2021/05/01 14:30:00,781.46,-27.94,TRADE
SA1,2021/05/01 15:00:00,797.41,-36.67,TRADE
SA1,2021/05/01 15:30:00,833.34,-8.80,TRADE
SA1,2021/05/01 16:00:00,900.05,23.07,TRADE
SA1,2021/05/01 16:30:00,997.95,34.30,TRADE
SA1,2021/05/01 17:00:00,1113.24,46.71,TRADE
SA1,2021/05/01 17:30:00,1271.74,42.41,TRADE
SA1,2021/05/01 18:00:00,1395.36,53.54,TRADE
SA1,2021/05/01 18:30:00,1430.43,51.03,TRADE
SA1,2021/05/01 19:00:00,1442.63,34.73,TRADE
