REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/09/01 00:30:00,1489.09,87.41,TRADE
SA1,2021/09/01 01:00:00,1494.86,99.50,TRADE
SA1,2021/09/01 01:30:00,1442.41,116.29,TRADE
SA1,2021/09/01 02:00:00,1380.11,89.34,TRADE
SA1,2021/09/01 02:30:00,1331.58,85.38,TRADE
SA1,2021/09/01 03:00:00,1289.16,69.85,TRADE
SA1,2021/09/01 03:30:00,1241.52,67.23,TRADE
SA1,2021/09/01 04:00:00,1202.66,67.47,TRADE
SA1,2021/09/01 04:30:00,1170.8,61.93,TRADE
SA1,2021/09/01 05:00:00,1185.42,47.51,TRADE
SA1,2021/09/01 05:30:00,1198.46,43.10,TRADE
SA1,2021/09/01 06:00:00,1245.08,41.48,TRADE
SA1,2021/09/01 06:30:00,1281.97,57.83,TRADE
SA1,2021/09/01 07:00:00,1404.44,81.55,TRADE
SA1,2021/09/01 07:30:00,1458.85,57.46,TRADE
SA1,2021/09/01 08:00:00,1478.66,28.32,TRADE
SA1,2021/09/01 08:30:00,1436.7,-139.56,TRADE
SA1,2021/09/01 09:00:00,1259.99,-157.54,TRADE
SA1,2021/09/01 09:30:00,1165,-7.46,TRADE
SA1,2021/09/01 10:00:00,1060.68,-160.18,TRADE
SA1,2021/09/01 10:30:00,921.71,-170.79,TRADE
SA1,2021/09/01 11:00:00,819.6,-23.30,TRADE
SA1,2021/09/01 11:30:00,751.26,-46.27,TRADE
SA1,2021/09/01 12:00:00,705.85,-91.36,TRADE
SA1,2021/09/01 12:30:00,661.85,-110.79,TRADE
SA1,2021/09/01 13:00:00,636,-167.59,TRADE
SA1,2021/09/01 13:30:00,657.05,-132.50,TRADE
SA1,2021/09/01 14:00:00,686.66,-91.67,TRADE
SA1,2021/09/01 14:30:00,734.05,-107.53,TRADE
SA1,2021/09/01 15:00:00,804.08,-70.10,TRADE
SA1,2021/09/01 15:30:00,860.74,-37.50,TRADE
SA1,2021/09/01 16:00:00,950.68,-32.29,TRADE
SA1,2021/09/01 16:30:00,1019.78,-2.02,TRADE
SA1,2021/09/01 17:00:00,1096.21,8.03,TRADE
SA1,2021/09/01 17:30:00,1226.35,56.18,TRADE
SA1,2021/09/01 18:00:00,1344.9,65,TRADE
SA1,2021/09/01 18:30:00,1415.5,78.69,TRADE
SA1,2021/09/01 19:00:00,1486.09,41.69,TRADE
SA1,2021/09/01 19:30:00,1469.99,17.65,TRADE
SA1,2021/09/01 20:00:00,1424.18,13.97,TRADE
SA1,2021/09/01 20:30:00,1366.03,-2.10,TRADE
SA1,2021/09/01 21:00:00,1325.13,4.75,TRADE
SA1,2021/09/01 21:30:00,1263.07,5.70,TRADE
SA1,2021/09/01 22:00:00,1208.23,-2.71,TRADE
SA1,2021/09/01 22:30:00,1158.22,-2.94,TRADE
SA1,2021/09/01 23:00:00,1113.38,-14.09,TRADE
SA1,2021/09/01 23:30:00,1091.93,-3.86,TRADE
SA1,2021/09/02 00:00:00,1210.82,-3.43,TRADE
SA1,2021/09/02 00:30:00,1180.56,-5.02,TRADE
SA1,2021/09/02 01:00:00,1183.2,-2.82,TRADE
SA1,2021/09/02 01:30:00,1128.51,-20.69,TRADE
SA1,2021/09/02 02:00:00,1074.68,-24.21,TRADE
SA1,2021/09/02 02:30:00,1022.36,-36.96,TRADE
SA1,2021/09/02 03:00:00,1027.31,-42.29,TRADE
SA1,2021/09/02 03:30:00,1046.74,-34.60,TRADE
SA1,2021/09/02 04:00:00,1008.92,-43.04,TRADE
SA1,2021/09/02 04:30:00,997.51,-44.31,TRADE
SA1,2021/09/02 05:00:00,1008.83,-40.17,TRADE
SA1,2021/09/02 05:30:00,1015.79,-25.82,TRADE
SA1,2021/09/02 06:00:00,1006.58,-27.78,TRADE
SA1,2021/09/02 06:30:00,1002.21,-20.73,TRADE
SA1,2021/09/02 07:00:00,1084.73,2.28,TRADE
SA1,2021/09/02 07:30:00,1116.62,-1.02,TRADE
SA1,2021/09/02 08:00:00,1108.17,-16.46,TRADE
SA1,2021/09/02 08:30:00,1032.36,-183.92,TRADE
SA1,2021/09/02 09:00:00,1063.26,-90.73,TRADE
SA1,2021/09/02 09:30:00,999.98,-62.88,TRADE
SA1,2021/09/02 10:00:00,916.32,-205.79,TRADE
SA1,2021/09/02 10:30:00,831.22,-91.69,TRADE
SA1,2021/09/02 11:00:00,776.56,-197.81,TRADE
